gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,tenure_years,is_new_customer,is_long_term_customer,monthly_charges_group,avg_monthly_charges,charge_increase,is_high_value_customer,total_services,service_adoption_rate,has_internet,has_fiber_optic,premium_services_count,has_premium_services,is_month_to_month,is_long_term_contract,is_automatic_payment,is_electronic_check,paperless_billing,is_senior_citizen,is_male,has_partner,has_dependents,family_size,is_single,charges_per_service,tenure_to_charges_ratio,tenure_x_MonthlyCharges,tenure_x_TotalCharges,is_senior_citizen_x_MonthlyCharges,has_internet_x_total_services,is_month_to_month_x_MonthlyCharges,has_fiber_optic_x_MonthlyCharges,family_size_x_total_services,is_automatic_payment_x_is_long_term_contract
Male,0,Yes,No,43,Yes,No,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),86.12377160593097,579.0270101766193,Yes,2-4 years,3.5833333333333335,0,0,High,13.465744422712078,1,1,2,0.2222222222222222,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,43.061885802965485,0.4992814318066718,3703.3221790550315,24898.16143759463,0.0,0,86.12377160593097,0.0,2,0
Female,1,Yes,Yes,69,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,55.956400499189,949.8193082970856,No,4-6 years,5.75,0,1,Medium,13.765497221696894,1,0,2,0.2222222222222222,1,1,1,1,1,0,0,1,1,1,0,1,1,2,0,27.9782002495945,1.2331029048410653,3860.991634444041,65537.53227249891,55.956400499189,2,55.956400499189,55.956400499189,4,0
Male,0,No,Yes,63,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.10295704773763,65.10295704773763,No,4-6 years,5.25,0,1,High,1.03338027059901,1,0,4,0.4444444444444444,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,16.275739261934408,0.9676979795833911,4101.486294007471,4101.486294007471,0.0,4,0.0,65.10295704773763,4,1
Male,0,Yes,No,70,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),69.47674118277496,2731.5477241183307,Yes,4-6 years,5.833333333333333,0,1,High,39.022110344547585,1,0,3,0.3333333333333333,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,23.158913727591653,1.0075314243057039,4863.371882794247,191208.34068828315,0.0,3,69.47674118277496,0.0,3,0
Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,80.92064679674068,3430.6351000536424,No,4-6 years,5.416666666666667,0,1,High,52.77900153928681,1,1,2,0.2222222222222222,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,40.46032339837034,0.8032560610059046,5259.842041788144,222991.28150348677,0.0,2,0.0,80.92064679674068,2,0
Female,1,Yes,No,67,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,No,Electronic check,64.75790369985968,6293.677678397277,No,4-6 years,5.583333333333333,0,1,Medium,93.9354877372728,0,0,3,0.3333333333333333,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,21.58596789995323,1.0346227436658852,4338.779547890599,421676.4044526176,64.75790369985968,3,0.0,64.75790369985968,3,0
Male,0,Yes,No,54,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,88.95652655657564,2558.2111381889,No,4-6 years,4.5,0,0,High,47.37428033683148,1,1,4,0.4444444444444444,1,1,2,1,0,1,0,0,1,0,1,1,0,1,0,22.23913163914391,0.6070380902929751,4803.652434055084,138143.4014622006,0.0,4,0.0,88.95652655657564,4,0
Male,0,No,No,36,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.068017496231,2305.895405429022,Yes,2-4 years,3.0,0,0,High,64.05265015080617,1,1,5,0.5555555555555556,0,0,2,1,1,0,0,1,1,0,1,0,0,0,1,18.6136034992462,0.38681386977495147,3350.448629864316,83012.2345954448,0.0,0,93.068017496231,0.0,0,0
Male,0,No,No,71,No,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),64.65309938589273,2321.653089753978,No,4-6 years,5.916666666666667,0,1,Medium,32.699339292309546,1,0,2,0.2222222222222222,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,32.326549692946365,1.0981685437263378,4590.370056398384,164837.3693725324,0.0,2,0.0,64.65309938589273,0,1
Female,0,No,No,15,No,Yes,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),50.49017399817929,821.4784517307089,No,1-2 years,1.25,0,0,Medium,54.7652301153806,0,0,4,0.4444444444444444,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,12.622543499544822,0.29708750856237714,757.3526099726893,12322.176775960634,0.0,4,0.0,0.0,0,1
Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,No,Electronic check,89.20074468134115,1519.1536802803544,Yes,1-2 years,1.5,0,0,High,84.39742668224191,1,1,3,0.3333333333333333,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,29.73358156044705,0.20179203732326248,1605.6134042641406,27344.76624504638,0.0,3,0.0,89.20074468134115,0,0
Male,0,No,No,4,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),72.71639734881063,1300.8729187527415,Yes,0-1 year,0.3333333333333333,1,0,High,325.2182296881854,0,0,4,0.4444444444444444,1,1,2,1,0,1,1,0,1,0,1,0,0,0,1,18.179099337202658,0.05500822573500921,290.8655893952425,5203.491675010966,0.0,4,0.0,72.71639734881063,0,1
Male,0,No,No,11,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),66.79062816051639,648.1039469277582,Yes,0-1 year,0.9166666666666666,0,0,High,58.918540629796205,1,0,3,0.3333333333333333,1,0,2,1,0,1,1,0,1,0,1,0,0,0,1,22.26354272017213,0.16469376472345718,734.6969097656803,7129.14341620534,0.0,3,0.0,0.0,0,1
Male,0,No,No,6,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),48.89125264507916,2214.307786225034,No,0-1 year,0.5,1,0,Medium,369.0512977041723,0,0,4,0.4444444444444444,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,12.22281316126979,0.12272133920471133,293.347515870475,13285.846717350203,0.0,4,48.89125264507916,0.0,0,0
