customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV
CUST_0001,Male,0,No,No,67,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Electronic check,100.54719204884648,1116.0377681401817,No,6736.6618672727145
CUST_0002,Female,1,No,No,25,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),21.234323398610528,1812.215579753893,No,530.8580849652632
CUST_0003,Male,0,No,No,61,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.39112531084348,2180.3330673648998,Yes,5330.858643961452
CUST_0004,Male,0,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,38.93129837346663,902.5500809122866,No,1012.2137577101324
CUST_0005,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),62.15956911228316,1563.5079492264954,No,2113.425349817627
CUST_0006,Female,1,Yes,No,9,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),55.782062781392526,516.1676061214139,No,502.03856503253274
CUST_0007,Male,0,Yes,Yes,40,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),108.45962681316902,4776.557886309438,No,4338.385072526761
CUST_0008,Male,0,Yes,No,7,No,Yes,No,No,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),74.02062584930778,18.8,No,518.1443809451545
CUST_0009,Male,0,Yes,No,30,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.92161609579576,5549.153050016026,Yes,1407.6484828738728
CUST_0010,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),73.47818401190932,6136.085518970636,No,4849.560144786015
CUST_0011,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,40.208834910214,6449.418587420049,Yes,1206.26504730642
CUST_0012,Male,0,Yes,No,68,Yes,No,No,Yes,Yes,No internet service,No,No,No,One year,No,Mailed check,37.68162874656981,18.8,No,2562.350754766747
CUST_0013,Male,0,No,No,58,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.08994406574156,3331.909445839823,No,4239.21675581301
CUST_0014,Male,0,No,Yes,55,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),100.16374753090628,18.8,No,5509.006114199845
CUST_0015,Female,0,Yes,No,14,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,51.71278779023078,820.3047681286639,Yes,723.9790290632309
CUST_0016,Male,0,Yes,No,37,Yes,No,No,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,63.431241008288914,2378.0747826751344,Yes,2346.95591730669
CUST_0017,Female,0,Yes,Yes,44,Yes,Yes,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),118.75,1964.3679146006352,No,5225.0
CUST_0018,Female,0,No,Yes,6,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,66.88101901922286,2875.361162544777,Yes,401.28611411533717
CUST_0019,Female,1,Yes,No,26,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,64.28726893391647,6198.838690081273,No,1671.4689922818282
